product_id,product_name,category,sub_category,price
P1159,Bookcase,Furniture,Bookcases,6788.65
P1160,Bookcase,Furniture,Bookcases,17080.66
P1161,Bookcase,Furniture,Bookcases,26680.53
P1162,Storage Rack,Furniture,Bookcases,15432.15
P1163,Storage Rack,Furniture,Bookcases,28326.37
P1164,Storage Rack,Furniture,Bookcases,7206.16
P1165,Storage Rack,Furniture,Bookcases,22896.56
P1166,Storage Rack,Furniture,Bookcases,22115.7
P1167,Storage Rack,Furniture,Bookcases,21401.28
P1168,Storage Rack,Furniture,Bookcases,20897.14
P1169,Display Shelf,Furniture,Bookcases,3602.32
P1170,Display Shelf,Furniture,Bookcases,23037.3
P1171,Display Shelf,Furniture,Bookcases,16491.48
P1172,Display Shelf,Furniture,Bookcases,17153.03
P1173,Display Shelf,Furniture,Bookcases,4373.56
P1174,Display Shelf,Furniture,Bookcases,8086.29
P1175,Display Shelf,Furniture,Bookcases,27597.19
P1176,Work Desk,Furniture,Desks,19198.78
P1177,Work Desk,Furniture,Desks,22724.61
P1178,Work Desk,Furniture,Desks,13514.16
P1179,Work Desk,Furniture,Desks,33448.59
P1180,Work Desk,Furniture,Desks,38331.54
P1181,Work Desk,Furniture,Desks,46456.78
P1182,Work Desk,Furniture,Desks,30292.86
P1183,Computer Desk,Furniture,Desks,17403.38
P1184,Computer Desk,Furniture,Desks,8193.35
P1185,Computer Desk,Furniture,Desks,16974.92
P1186,Computer Desk,Furniture,Desks,32826.4
P1187,Computer Desk,Furniture,Desks,48834.66
P1188,Computer Desk,Furniture,Desks,8563.9
P1189,Computer Desk,Furniture,Desks,22476.49
P1190,Executive Desk,Furniture,Desks,35025.61
P1191,Executive Desk,Furniture,Desks,30855.69
P1192,Executive Desk,Furniture,Desks,34326.17
P1193,Executive Desk,Furniture,Desks,25844.38
P1194,Executive Desk,Furniture,Desks,17016.65
P1195,Executive Desk,Furniture,Desks,26723.85
P1196,Executive Desk,Furniture,Desks,22169.13
P1197,Binder,Office Supplies,Binders,590.69
P1198,Binder,Office Supplies,Binders,203.57
P1199,Binder,Office Supplies,Binders,437.23
P1200,Binder,Office Supplies,Binders,770.53
P1201,Binder,Office Supplies,Binders,462.89
P1202,Binder,Office Supplies,Binders,250.79
P1203,Binder,Office Supplies,Binders,753.81
P1204,File Folder,Office Supplies,Binders,255.79
P1205,File Folder,Office Supplies,Binders,620.85
P1206,File Folder,Office Supplies,Binders,158.86
P1207,File Folder,Office Supplies,Binders,693.5
P1208,File Folder,Office Supplies,Binders,210.01
P1209,File Folder,Office Supplies,Binders,363.81
P1210,File Folder,Office Supplies,Binders,775.25
P1211,Ring Binder,Office Supplies,Binders,497.16
P1212,Ring Binder,Office Supplies,Binders,270.08
P1213,Ring Binder,Office Supplies,Binders,80.45
P1214,Ring Binder,Office Supplies,Binders,84.89
P1215,Ring Binder,Office Supplies,Binders,277.7
P1216,Ring Binder,Office Supplies,Binders,459.34
P1217,Ring Binder,Office Supplies,Binders,429.12
P1218,A4 Paper,Office Supplies,Paper,1398.45
P1219,A4 Paper,Office Supplies,Paper,1193.32
P1220,A4 Paper,Office Supplies,Paper,1402.16
P1221,A4 Paper,Office Supplies,Paper,865.31
P1222,A4 Paper,Office Supplies,Paper,780.67
P1223,A4 Paper,Office Supplies,Paper,935.91
P1224,A4 Paper,Office Supplies,Paper,683.79
P1225,Copy Paper,Office Supplies,Paper,474.05
P1226,Copy Paper,Office Supplies,Paper,1287.66
P1227,Copy Paper,Office Supplies,Paper,1084.69
P1228,Copy Paper,Office Supplies,Paper,623.36
P1229,Copy Paper,Office Supplies,Paper,780.17
P1230,Copy Paper,Office Supplies,Paper,493.08
P1231,Copy Paper,Office Supplies,Paper,931.69
P1232,Photo Paper,Office Supplies,Paper,665.87
P1233,Photo Paper,Office Supplies,Paper,1338.25
P1234,Photo Paper,Office Supplies,Paper,886.87
P1235,Photo Paper,Office Supplies,Paper,735.25
P1236,Photo Paper,Office Supplies,Paper,1174.51
P1237,Photo Paper,Office Supplies,Paper,1376.63
P1238,Photo Paper,Office Supplies,Paper,1262.64
P1239,Ball Pen,Office Supplies,Pens,262.61
P1240,Ball Pen,Office Supplies,Pens,197.53
P1241,Ball Pen,Office Supplies,Pens,341.2
P1242,Ball Pen,Office Supplies,Pens,413.93
P1243,Ball Pen,Office Supplies,Pens,489.96
P1244,Ball Pen,Office Supplies,Pens,244.91
P1245,Ball Pen,Office Supplies,Pens,344.07
P1246,Gel Pen,Office Supplies,Pens,167.76
P1247,Gel Pen,Office Supplies,Pens,71.11
P1248,Gel Pen,Office Supplies,Pens,148.94
P1249,Gel Pen,Office Supplies,Pens,36.81
P1250,Gel Pen,Office Supplies,Pens,269.43
P1251,Gel Pen,Office Supplies,Pens,205.38
P1252,Gel Pen,Office Supplies,Pens,348.79
P1253,Marker,Office Supplies,Pens,319.2
P1254,Marker,Office Supplies,Pens,108.9
P1255,Marker,Office Supplies,Pens,346.7
P1256,Marker,Office Supplies,Pens,118.08
P1257,Marker,Office Supplies,Pens,32.8
P1258,Marker,Office Supplies,Pens,485.99
P1259,Marker,Office Supplies,Pens,42.68
P1260,File Box,Office Supplies,Storage,1156.9
P1261,File Box,Office Supplies,Storage,1985.03
P1262,File Box,Office Supplies,Storage,1237.05
P1263,File Box,Office Supplies,Storage,1267.39
P1264,File Box,Office Supplies,Storage,2223.64
P1265,File Box,Office Supplies,Storage,1886.03
P1266,File Box,Office Supplies,Storage,1651.46
P1267,Document Tray,Office Supplies,Storage,2681.69
P1268,Document Tray,Office Supplies,Storage,502.72
P1269,Document Tray,Office Supplies,Storage,1515.35
P1270,Document Tray,Office Supplies,Storage,869.39
P1271,Document Tray,Office Supplies,Storage,303.06
P1272,Document Tray,Office Supplies,Storage,2941.29
P1273,Document Tray,Office Supplies,Storage,2255.28
P1274,Storage Box,Office Supplies,Storage,805.32
P1275,Storage Box,Office Supplies,Storage,1326.82
P1276,Storage Box,Office Supplies,Storage,832.87
P1277,Storage Box,Office Supplies,Storage,2117.59
P1278,Storage Box,Office Supplies,Storage,1181.25
P1279,Storage Box,Office Supplies,Storage,2775.62
P1280,Storage Box,Office Supplies,Storage,781.15
P1281,Copy Paper,Office Supplies,Paper,1350.08
P1282,Binder,Office Supplies,Binders,427.81
P1283,Headphones,Electronics,Accessories,7828.72
P1284,Gel Pen,Office Supplies,Pens,462.86
P1285,Tablet,Electronics,Tablets,33636.19
P1286,4K Monitor,Electronics,Monitors,28161.78
P1287,Smartphone,Electronics,Mobiles,40416.54
P1288,Conference Table,Furniture,Tables,18437.76
P1289,Gaming Monitor,Electronics,Monitors,10335.29
P1290,Storage Rack,Furniture,Bookcases,3787.42
P1291,4K Monitor,Electronics,Monitors,9172.01
P1292,Document Tray,Office Supplies,Storage,2892.31
P1293,5G Smartphone,Electronics,Mobiles,18878.67
P1294,Binder,Office Supplies,Binders,461.98
P1295,Visitor Chair,Furniture,Chairs,17663.25
P1296,Marker,Office Supplies,Pens,346.44
P1297,Marker,Office Supplies,Pens,344.85
P1298,Photo Paper,Office Supplies,Paper,925.56
P1299,Study Table,Furniture,Tables,22049.64
P1300,Work Desk,Furniture,Desks,23696.07
