order_id,customer_id,product_id,order_date,quantity,sales,discount,profit
O100073,C4334,P1293,2025-06-01,1,18878.67,0.0,2435.16
O100074,C3537,P1165,2024-02-28,5,114482.8,0.0,15664.33
O100075,C4416,P1027,2025-11-30,3,234773.7,0.0,40573.15
O100076,C5316,P1248,2024-08-23,1,134.05,14.89,15.35
O100077,C2228,P1252,2025-10-27,1,348.79,0.0,55.67
O100078,C5755,P1133,2025-09-17,1,8597.43,1517.19,1706.97
O100079,C5553,P1033,2024-12-05,1,72167.87,3798.31,10362.12
O100080,C3106,P1288,2025-11-24,1,17515.87,921.89,2607.67
O100081,C5889,P1277,2025-05-16,1,2011.71,105.88,251.73
O100082,C5408,P1128,2025-02-15,1,16820.06,885.27,3056.83
O100083,C1212,P1121,2024-06-30,1,23601.06,1242.16,4428.2
O100084,C1224,P1120,2025-02-20,1,13819.47,0.0,1522.56
O100085,C4549,P1167,2025-03-21,1,20331.22,1070.06,4643.12
O100086,C4918,P1219,2024-06-29,2,2267.31,119.33,287.82
O100087,C2253,P1153,2025-02-22,1,21717.17,0.0,4426.87
O100088,C3498,P1169,2025-10-06,1,3061.97,540.35,541.88
O100089,C3708,P1173,2024-12-20,2,8747.12,0.0,1579.58
O100090,C3231,P1092,2024-10-12,1,5911.94,0.0,872.63
O100091,C1367,P1186,2025-03-17,2,65652.8,0.0,13416.98
O100092,C2099,P1001,2024-12-18,3,222728.3,11722.54,35603.75
O100093,C5078,P1117,2025-04-29,3,34694.31,0.0,7110.66
O100094,C1383,P1038,2025-12-01,1,31119.53,7779.88,3809.11
O100095,C4133,P1096,2025-06-15,1,5708.48,1427.12,459.68
O100096,C4203,P1079,2025-08-04,2,61175.32,6797.26,5000.8
O100097,C5787,P1002,2024-06-09,2,158047.38,17560.82,14491.46
O100098,C5947,P1033,2025-07-11,1,64571.25,11394.93,9714.41
O100099,C5719,P1258,2024-02-14,4,1943.96,0.0,105.83
O100100,C3718,P1156,2024-11-25,2,33989.79,8497.45,7717.77
O100101,C1221,P1214,2024-05-23,1,76.4,8.49,12.71
O100102,C2411,P1102,2024-04-15,1,4769.78,529.98,309.24
O100103,C3370,P1020,2025-12-07,5,240968.52,26774.28,30209.66
O100104,C1203,P1210,2024-09-11,1,775.25,0.0,55.69
O100105,C1195,P1129,2025-01-28,1,14653.06,0.0,1990.75
O100106,C2640,P1143,2024-11-12,1,33430.08,3714.45,4505.07
O100107,C2951,P1032,2025-06-08,1,53177.75,0.0,3439.82
O100108,C3933,P1064,2025-08-05,2,40459.1,4495.46,5730.56
O100109,C5651,P1175,2024-02-03,2,46915.22,8279.16,7479.93
O100110,C2964,P1132,2025-07-15,2,7868.7,0.0,1410.83
O100111,C1251,P1183,2025-04-27,4,66132.84,3480.68,12202.4
O100112,C3709,P1219,2025-11-02,3,3400.96,179.0,356.3
O100113,C2797,P1151,2024-02-27,1,14733.88,1637.1,1354.77
O100114,C5495,P1157,2024-02-22,1,12995.44,1443.94,2596.3
O100115,C3161,P1144,2024-06-22,1,18067.81,2007.54,3336.19
O100116,C2630,P1128,2024-11-18,1,15934.8,1770.53,2600.13
O100117,C4638,P1197,2025-05-10,1,531.62,59.07,63.72
O100118,C3465,P1108,2025-08-29,3,10969.59,577.35,1292.05
O100119,C3796,P1126,2025-05-11,2,39212.73,2063.83,8606.55
O100120,C1761,P1208,2024-12-07,2,357.02,63.0,32.74
O100121,C2882,P1270,2024-04-07,1,738.98,130.41,61.89
O100122,C1246,P1215,2024-06-18,1,263.82,13.88,26.25
O100123,C4790,P1178,2024-10-28,1,13514.16,0.0,2041.59
O100124,C2243,P1189,2025-08-05,1,22476.49,0.0,4164.05
O100125,C1609,P1036,2025-10-14,1,62380.29,0.0,9039.86
O100126,C3968,P1171,2024-02-06,2,26386.37,6596.59,5612.31
O100127,C3921,P1183,2025-11-01,2,34806.76,0.0,4493.91
O100128,C2602,P1108,2024-09-21,2,6543.27,1154.69,828.46
O100129,C5815,P1216,2025-03-20,3,1102.42,275.6,94.48
O100130,C4209,P1224,2025-05-16,1,683.79,0.0,72.02
O100131,C5618,P1282,2024-10-13,1,406.42,21.39,27.95
O100132,C2533,P1264,2024-04-27,1,1890.09,333.55,278.26
O100133,C3775,P1138,2024-05-26,4,148573.56,0.0,20153.22
O100134,C3071,P1038,2025-09-04,2,70018.94,7779.88,6796.24
O100135,C3070,P1052,2025-04-27,3,86051.02,9561.22,13662.25
O100136,C1249,P1277,2025-12-14,3,5399.85,952.92,817.25
O100137,C2102,P1086,2024-10-05,2,14925.96,785.58,2275.45
O100138,C5350,P1070,2025-06-28,1,23789.45,0.0,3282.85
O100139,C5241,P1177,2025-11-23,2,40904.3,4544.92,6228.83
O100140,C1542,P1041,2024-09-20,2,21185.03,2353.89,1707.31
O100141,C1098,P1025,2024-04-17,4,308463.76,0.0,57398.15
O100142,C1521,P1201,2024-11-29,2,925.78,0.0,117.72
O100143,C4222,P1034,2024-11-14,4,138102.83,7268.57,27072.93
O100144,C2209,P1132,2025-02-01,1,3737.63,196.72,531.76
O100145,C4830,P1188,2025-01-08,5,40678.52,2140.98,-2946.57
O100146,C1034,P1294,2025-03-31,1,438.88,23.1,-20.53
O100147,C4595,P1098,2024-03-11,1,1972.2,103.8,256.5
O100148,C5426,P1125,2025-09-15,2,12157.9,0.0,1841.07
O100149,C1240,P1151,2024-08-18,1,15552.43,818.55,3301.48
O100150,C5339,P1197,2025-07-25,2,1122.31,59.07,83.06
O100151,C5571,P1062,2025-01-23,2,97735.64,5143.98,11343.64
O100152,C3688,P1045,2024-08-29,3,87095.25,15369.75,17127.03
O100153,C2452,P1215,2025-11-04,2,499.86,55.54,45.88
O100154,C3829,P1126,2024-07-19,1,18574.45,2063.83,3706.75
O100155,C2579,P1150,2024-12-09,3,44151.23,2323.75,8581.5
O100156,C5652,P1205,2024-08-05,2,1179.62,62.09,104.77
O100157,C3731,P1138,2025-02-11,2,66858.1,7428.68,11664.61
O100158,C4987,P1037,2024-03-24,1,42912.54,0.0,6178.9
O100159,C4074,P1116,2025-05-07,1,21602.36,0.0,2871.66
O100160,C2476,P1173,2024-01-19,1,4373.56,0.0,537.07
O100161,C3507,P1181,2024-04-16,3,111496.27,27874.07,13111.86
O100162,C5395,P1287,2025-12-20,1,34354.06,6062.48,4287.81
O100163,C2920,P1084,2024-04-17,1,26020.27,2891.14,4877.01
O100164,C2713,P1090,2024-08-17,2,18660.74,0.0,1838.44
O100165,C5787,P1239,2024-12-15,1,262.61,0.0,24.76
O100166,C2684,P1181,2024-12-26,1,41811.1,4645.68,8056.02
O100167,C5287,P1058,2025-03-31,2,103281.48,11475.72,16603.48
O100168,C1897,P1189,2024-03-09,1,20228.84,2247.65,2981.09
O100169,C4954,P1258,2024-08-19,2,923.38,48.6,87.75
O100170,C4102,P1251,2024-11-16,3,616.14,0.0,47.83
O100171,C1607,P1165,2024-02-29,1,21751.73,1144.83,3157.03
O100172,C1339,P1046,2024-01-01,2,86452.54,0.0,8482.05
O100173,C2520,P1146,2025-07-05,1,16696.07,878.74,2885.68
O100174,C4317,P1215,2025-10-13,1,236.04,41.65,15.68
O100175,C2810,P1240,2025-05-25,1,187.65,9.88,-14.13
O100176,C2377,P1167,2025-12-05,5,90955.44,16050.96,12126.61
O100177,C3941,P1057,2025-10-25,2,107027.2,0.0,11801.01
O100178,C5763,P1164,2025-11-27,3,21618.48,0.0,4051.33
O100179,C1614,P1040,2025-07-31,1,47064.58,5229.4,4953.47
O100180,C4256,P1192,2024-05-21,1,34326.17,0.0,5401.29
O100181,C5545,P1235,2025-06-24,2,1470.5,0.0,174.43
O100182,C3714,P1238,2025-08-13,3,3409.13,378.79,-396.48
O100183,C5827,P1153,2025-01-16,3,65151.51,0.0,8783.95
O100184,C4013,P1216,2024-09-08,3,1171.32,206.7,143.52
O100185,C4386,P1031,2025-11-15,2,54820.49,6091.17,5455.52
O100186,C4953,P1017,2025-04-23,1,88099.02,4636.79,12504.37
O100187,C2001,P1041,2025-05-17,1,11180.99,588.47,986.04
O100188,C3821,P1144,2025-11-07,2,36135.63,4015.07,5642.72
O100189,C4094,P1276,2024-03-22,2,1499.17,166.57,108.86
O100190,C1607,P1202,2025-02-04,2,501.58,0.0,86.47
O100191,C3278,P1154,2025-07-21,2,55245.44,0.0,8285.5
O100192,C4869,P1003,2024-10-20,1,61407.13,15351.78,6757.42
O100193,C1214,P1069,2024-06-13,4,138787.84,0.0,8611.15
O100194,C3071,P1091,2025-01-15,1,8589.55,0.0,1127.13
O100195,C1731,P1024,2025-08-12,2,189841.96,9991.68,16848.9
O100196,C1882,P1035,2025-03-29,2,140797.71,15644.19,13781.44
O100197,C3574,P1146,2025-12-23,1,17574.81,0.0,1439.65
O100198,C1156,P1095,2025-02-04,1,7030.42,370.02,795.19
O100199,C3125,P1117,2024-04-05,1,11564.77,0.0,1307.99
O100200,C1136,P1228,2024-04-06,1,623.36,0.0,54.37
O100201,C5614,P1096,2024-02-28,1,5708.48,1427.12,561.19
O100202,C5411,P1236,2025-06-12,1,1115.78,58.73,93.05
O100203,C2059,P1266,2025-07-23,2,2642.34,660.58,181.64
O100204,C1346,P1201,2024-01-11,2,786.91,138.87,67.9
O100205,C2262,P1202,2025-08-05,1,200.63,50.16,7.73
O100206,C1149,P1041,2025-05-03,1,11769.46,0.0,836.82
O100207,C4697,P1016,2025-05-07,1,47768.94,2514.16,3563.23
O100208,C3895,P1218,2024-11-02,3,3985.58,209.77,688.04
O100209,C3732,P1175,2024-12-05,4,104869.32,5519.44,21578.42
O100210,C5248,P1219,2024-01-03,1,1193.32,0.0,161.86
O100211,C5045,P1191,2025-09-18,2,55540.24,6171.14,10833.29
O100212,C3052,P1014,2025-06-02,3,247218.18,27468.69,24317.21
O100213,C4074,P1165,2025-04-28,1,19462.08,3434.48,2465.05
O100214,C3212,P1166,2025-11-26,1,19904.13,2211.57,4204.21
O100215,C4147,P1199,2025-09-22,1,415.37,21.86,57.86
O100216,C1759,P1151,2024-05-28,1,16370.98,0.0,3025.85
O100217,C2531,P1142,2024-09-01,2,48621.63,2559.03,7284.91
O100218,C2270,P1195,2024-07-20,1,22715.27,4008.58,4727.79
O100219,C1842,P1184,2024-09-06,1,8193.35,0.0,1326.25
O100220,C3072,P1207,2024-03-19,2,1317.65,69.35,89.96
O100221,C4649,P1087,2025-03-21,1,1384.81,153.87,188.42
O100222,C2987,P1020,2024-04-05,2,107097.12,0.0,20059.63
O100223,C5928,P1143,2025-05-16,2,66860.15,7428.91,8937.32
O100224,C2540,P1075,2025-11-27,1,31337.1,3481.9,3679.65
O100225,C5738,P1058,2024-04-07,1,54509.67,2868.93,5378.34
O100226,C1968,P1248,2024-07-27,3,446.82,0.0,32.71
O100227,C2626,P1169,2024-04-25,1,3061.97,540.35,579.6
O100228,C1826,P1156,2025-08-01,1,21243.62,0.0,2707.25
O100229,C2193,P1092,2025-08-31,2,9459.1,2364.78,988.08
O100230,C1790,P1245,2025-04-12,1,326.87,17.2,31.36
O100231,C4153,P1257,2025-02-23,2,62.32,3.28,12.17
O100232,C2003,P1077,2025-01-15,2,64492.44,3394.34,3802.43
O100233,C1439,P1146,2024-06-16,1,16696.07,878.74,-424.74
O100234,C2350,P1282,2025-03-20,1,363.64,64.17,14.9
O100235,C4421,P1177,2024-08-31,4,86353.52,4544.92,14820.14
O100236,C3148,P1139,2024-10-11,2,41480.93,2183.21,6146.38
O100237,C1783,P1224,2025-08-19,3,1743.66,307.71,195.74
O100238,C1338,P1146,2025-10-08,1,17574.81,0.0,3040.53
O100239,C4663,P1019,2024-06-03,2,98510.57,5184.77,12224.83
O100240,C4534,P1089,2025-04-13,1,10458.59,0.0,1175.14
O100241,C3307,P1256,2025-03-17,1,118.08,0.0,-8.04
O100242,C3651,P1239,2025-11-23,5,1313.05,0.0,145.98
O100243,C2212,P1257,2025-01-06,2,55.76,9.84,11.29
O100244,C3424,P1210,2024-10-23,1,620.2,155.05,80.82
O100245,C4659,P1104,2025-11-28,2,11052.88,0.0,1844.53
O100246,C4873,P1260,2025-11-20,5,5495.28,289.23,255.98
O100247,C2710,P1135,2025-07-10,2,73898.4,0.0,13365.03
O100248,C4423,P1128,2025-11-13,2,31869.59,3541.07,4688.49
O100249,C3431,P1238,2025-06-07,2,2399.02,126.26,329.59
O100250,C4724,P1245,2024-08-29,2,653.73,34.41,88.87
O100251,C4480,P1233,2025-07-03,5,6022.12,669.12,694.63
O100252,C4774,P1133,2025-12-27,1,9103.16,1011.46,983.61
O100253,C1830,P1219,2025-11-22,1,1133.65,59.67,127.45
O100254,C2631,P1092,2025-07-14,2,11823.88,0.0,1691.02
O100255,C2339,P1114,2024-07-06,1,10632.21,559.59,1381.11
O100256,C3236,P1296,2025-07-17,3,1039.32,0.0,156.55
O100257,C3320,P1291,2024-01-26,1,9172.01,0.0,1307.25
O100258,C4363,P1082,2025-04-02,3,40392.64,7128.11,4220.34
O100259,C3871,P1088,2024-07-30,3,15649.98,823.68,1955.37
O100260,C3926,P1060,2024-04-19,1,9881.72,1097.97,1909.6
O100261,C4194,P1116,2025-10-27,4,77768.5,8640.94,16400.4
O100262,C2388,P1176,2025-06-26,1,18238.84,959.94,3593.2
O100263,C2137,P1258,2025-05-25,1,485.99,0.0,62.46
O100264,C2081,P1230,2025-03-27,1,493.08,0.0,56.21
O100265,C4900,P1193,2024-04-23,1,24552.16,1292.22,4898.05
O100266,C1497,P1042,2025-01-23,2,77786.7,0.0,13057.6
O100267,C2603,P1050,2024-09-04,1,48949.94,0.0,6131.34
O100268,C2426,P1241,2025-12-26,1,272.96,68.24,15.59
O100269,C3980,P1232,2025-03-14,3,1897.73,99.88,159.79
O100270,C5607,P1292,2025-09-19,1,2892.31,0.0,107.87
O100271,C5389,P1083,2024-04-28,2,92898.36,0.0,7385.34
O100272,C1544,P1154,2024-08-02,2,44196.35,11049.09,5838.05
O100273,C3709,P1210,2025-03-13,1,736.49,38.76,38.62
O100274,C1196,P1290,2025-12-11,3,11362.26,0.0,1847.37
O100275,C4957,P1010,2024-02-24,4,377648.24,0.0,63957.43
O100276,C2880,P1042,2024-03-27,1,35004.02,3889.34,7189.9
O100277,C2078,P1279,2025-06-14,3,7494.17,832.69,609.31
O100278,C3415,P1172,2024-03-21,1,16295.38,857.65,1856.44
O100279,C3176,P1093,2024-08-07,1,5357.15,281.96,752.95
O100280,C5710,P1266,2025-04-26,2,2972.63,330.29,456.8
O100281,C1176,P1087,2024-11-07,2,3077.36,0.0,426.18
O100282,C5752,P1138,2025-07-08,4,141144.88,7428.68,27312.38
O100283,C2177,P1268,2024-01-11,1,427.31,75.41,51.35
O100284,C1726,P1248,2025-04-15,2,297.88,0.0,-21.7
O100285,C4737,P1246,2025-04-15,1,159.37,8.39,14.8
O100286,C3629,P1197,2024-07-14,1,590.69,0.0,55.35
O100287,C5477,P1236,2025-05-15,2,2349.02,0.0,119.16
O100288,C3726,P1079,2024-11-11,1,32286.98,1699.31,1419.75
O100289,C3541,P1066,2025-09-29,3,31409.52,0.0,4165.12
O100290,C2037,P1271,2025-07-14,4,1091.02,121.22,142.79
O100291,C5749,P1232,2025-06-15,2,1331.74,0.0,105.82
O100292,C4348,P1112,2025-01-18,1,3726.86,657.68,494.24
O100293,C4032,P1050,2025-05-08,1,44054.95,4894.99,7532.79
O100294,C4948,P1014,2024-04-12,1,91562.29,0.0,9876.99
O100295,C1517,P1161,2024-11-03,1,25346.5,1334.03,3256.39
O100296,C5334,P1070,2024-09-24,2,47578.9,0.0,7387.08
O100297,C3511,P1161,2024-02-22,1,21344.42,5336.11,4826.63
O100298,C5006,P1240,2025-08-13,1,187.65,9.88,21.69
O100299,C4577,P1121,2025-04-15,2,49686.44,0.0,8129.47
O100300,C3261,P1216,2024-08-29,3,1240.22,137.8,68.67
O100301,C4866,P1264,2024-01-17,2,4447.28,0.0,227.56
O100302,C4620,P1201,2025-12-08,2,925.78,0.0,131.32
O100303,C1024,P1262,2025-04-25,1,1237.05,0.0,111.54
O100304,C4560,P1027,2025-08-12,3,199557.64,35216.05,21615.08
O100305,C3556,P1209,2024-02-24,1,345.62,18.19,26.07
O100306,C5192,P1231,2025-10-29,2,1490.7,372.68,170.16
O100307,C5049,P1209,2024-02-13,1,345.62,18.19,44.63
O100308,C1854,P1184,2025-10-28,1,8193.35,0.0,1118.39
O100309,C1118,P1186,2025-02-18,3,98479.2,0.0,15811.6
O100310,C1983,P1040,2025-09-26,1,52293.98,0.0,-2590.06
O100311,C4734,P1156,2025-11-02,2,40362.88,2124.36,5808.45
O100312,C5359,P1133,2025-10-03,3,27309.47,3034.39,3831.85
O100313,C4520,P1258,2025-06-11,1,437.39,48.6,34.41
O100314,C5107,P1096,2024-03-17,1,6422.04,713.56,615.01
O100315,C3963,P1123,2025-05-26,1,7600.7,844.52,1205.47
O100316,C3543,P1214,2025-01-18,2,161.29,8.49,17.89
O100317,C5856,P1045,2025-08-03,2,68310.0,0.0,8986.12
O100318,C1419,P1126,2025-12-16,2,39212.73,2063.83,5225.34
O100319,C3113,P1174,2024-12-02,3,21832.98,2425.89,5980.18
O100320,C2413,P1205,2024-07-16,1,527.72,93.13,74.75
O100321,C1614,P1268,2025-06-16,1,502.72,0.0,49.12
O100322,C4052,P1276,2024-06-24,3,2248.75,249.86,252.25
O100323,C2327,P1012,2024-12-15,1,72668.98,12823.94,9930.2
O100324,C3312,P1129,2025-05-29,1,14653.06,0.0,2643.15
O100325,C1686,P1281,2025-11-24,2,2700.16,0.0,204.94
O100326,C2961,P1263,2025-06-21,5,6020.1,316.85,799.76
O100327,C2002,P1190,2025-06-04,1,35025.61,0.0,7719.0
O100328,C5481,P1106,2025-01-14,2,12389.77,652.09,1771.79
O100329,C3628,P1207,2024-08-08,4,2635.3,138.7,272.96
O100330,C4993,P1095,2025-09-14,1,6290.37,1110.07,891.04
O100331,C3427,P1194,2024-09-23,3,51049.95,0.0,7540.17
O100332,C1225,P1047,2024-06-05,2,63063.9,7007.1,-2781.27
O100333,C4499,P1058,2025-04-11,3,172135.8,0.0,18555.58
O100334,C1249,P1219,2025-10-30,3,3221.96,358.0,215.95
O100335,C2985,P1179,2024-12-12,1,31776.16,1672.43,5071.65
O100336,C3753,P1224,2024-09-26,1,547.03,136.76,35.22
O100337,C4901,P1038,2024-04-23,2,70018.94,7779.88,8835.76
O100338,C5488,P1040,2025-08-18,1,41835.18,10458.8,4438.24
O100339,C2028,P1115,2025-04-07,1,17773.7,3136.53,3087.04
O100340,C4343,P1279,2024-05-11,1,2498.06,277.56,63.59
O100341,C3343,P1041,2025-03-27,1,10004.04,1765.42,1045.3
O100342,C4857,P1114,2024-09-28,1,10632.21,559.59,-810.72
O100343,C5695,P1212,2024-01-13,1,270.08,0.0,31.38
O100344,C3677,P1196,2025-04-12,3,59856.65,6650.74,11658.7
O100345,C2468,P1152,2024-10-05,2,37043.5,0.0,4467.72
O100346,C4986,P1259,2024-06-01,2,81.09,4.27,8.86
O100347,C3648,P1252,2025-06-18,1,296.47,52.32,13.53
O100348,C5407,P1152,2024-06-01,1,17595.66,926.09,2499.03
O100349,C3853,P1139,2024-05-11,2,37114.52,6549.62,4669.93
O100350,C5680,P1265,2024-05-12,1,1603.13,282.9,131.45
O100351,C1094,P1186,2025-09-14,3,98479.2,0.0,16447.99
O100352,C4721,P1228,2024-11-09,3,1776.58,93.5,190.66
O100353,C2742,P1240,2025-02-18,2,375.31,19.75,52.01
O100354,C4373,P1113,2025-08-25,1,11411.86,1267.98,1695.45
O100355,C5707,P1165,2024-10-24,1,21751.73,1144.83,2620.34
O100356,C4303,P1135,2024-07-14,1,35101.74,1847.46,5578.25
O100357,C4749,P1189,2025-12-21,1,20228.84,2247.65,4622.43
O100358,C1793,P1193,2025-03-20,3,73656.48,3876.66,6676.48
O100359,C1854,P1171,2025-04-10,1,15666.91,824.57,3018.6
O100360,C3890,P1264,2024-08-03,3,6670.92,0.0,1182.21
O100361,C3153,P1230,2025-11-06,3,1331.32,147.92,93.38
O100362,C1569,P1297,2024-08-30,3,1034.55,0.0,86.54
O100363,C4659,P1094,2025-12-30,3,1701.16,189.02,248.33
O100364,C4510,P1048,2025-03-28,1,16985.15,893.96,1587.95
O100365,C1472,P1231,2024-12-01,2,1490.7,372.68,263.56
O100366,C1257,P1187,2025-06-06,1,48834.66,0.0,5258.91
O100367,C2899,P1120,2024-09-21,1,13819.47,0.0,2372.81
O100368,C4194,P1273,2025-08-27,4,8570.06,451.06,1023.83
O100369,C5466,P1266,2025-09-25,4,6275.55,330.29,538.01
O100370,C3173,P1083,2024-03-13,1,46449.18,0.0,6720.99
O100371,C1436,P1267,2024-01-08,3,7642.82,402.25,947.44
O100372,C5194,P1151,2024-02-20,5,69576.66,12278.23,10729.35
O100373,C1626,P1026,2024-12-03,4,308304.83,54406.73,25743.36
O100374,C4218,P1211,2025-04-29,1,497.16,0.0,41.59
O100375,C3071,P1213,2025-04-15,1,80.45,0.0,10.96
O100376,C5533,P1142,2024-07-07,1,25590.33,0.0,4836.33
O100377,C4537,P1151,2025-08-14,1,16370.98,0.0,2675.49
O100378,C1002,P1052,2024-03-07,1,31870.75,0.0,4004.16
O100379,C2871,P1116,2025-05-15,1,21602.36,0.0,3599.21
O100380,C1905,P1058,2024-12-06,3,154922.22,17213.58,20303.18
O100381,C2444,P1028,2024-01-15,1,60619.1,10697.49,7035.03
O100382,C3002,P1179,2025-09-21,4,120414.92,13379.44,15951.41
O100383,C3718,P1021,2025-05-07,2,168208.92,8853.1,32653.31
O100384,C4985,P1297,2025-02-09,1,327.61,17.24,44.07
O100385,C1447,P1050,2025-04-21,5,195799.76,48949.94,26496.39
O100386,C3209,P1034,2024-08-15,1,34525.71,1817.14,3856.68
O100387,C5245,P1223,2024-01-07,2,1871.82,0.0,173.31
O100388,C3164,P1148,2024-10-04,3,30129.99,0.0,4794.02
O100389,C3607,P1278,2024-08-06,1,1122.19,59.06,179.63
O100390,C4898,P1027,2025-05-22,3,234773.7,0.0,21072.98
O100391,C4581,P1005,2024-12-08,3,138777.54,0.0,17446.87
O100392,C3564,P1228,2025-12-04,3,1589.57,280.51,124.9
O100393,C5845,P1140,2025-04-06,3,16961.51,1884.61,2026.46
O100394,C1192,P1243,2025-05-10,1,465.46,24.5,70.93
O100395,C1289,P1163,2025-05-11,2,56652.74,0.0,8517.76
O100396,C3143,P1211,2024-08-01,2,944.6,49.72,57.46
O100397,C1790,P1149,2025-01-31,2,55049.2,13762.3,9081.86
O100398,C2087,P1199,2025-10-26,2,699.57,174.89,72.21
O100399,C1755,P1234,2025-12-25,2,1685.05,88.69,105.29
O100400,C4490,P1247,2024-08-21,3,192.0,21.33,28.38
